 	Наименование колледжей	Контингент	в том числе кол-во			Новый набор	
			бюджетные	платные			
	10410400 – «Организация дорожного движения»	57	3	57		3	
20	Учреждение «Innovative college» , в том числе	809	496	313		193	
	04110100 – «Учет и аудит»	79	57	22		27	
	0420100 – «Правоведение»	196	25	171		25	
	06130100 – «Программное обеспечение (по видам)»	93	79	14		19	
	09230100 – «Социальная работа»	106	52	54		13	
	10320100 – «Пожарная безопасность»	152	121	31		63	
	10410400 – «Организация дорожного движения»	183	161	22		46	
21	Учреждение «Колледж агробизнеса и экономики Казпотребсоюза», в том числе	269	130	139		65	
	08110100 – «Агрономия»	4	0	4			
	08110700 – «Рыбное хозяйство»	21	20	1		20	
	08210100 – «Лесное хозяйство»	152	47	105		17	
	08210200 – «Охотоведение и звероводство»	6	0	6			
	08410100 – «Ветеринария»	86	63	23		26	
22	Высший колледж Шакарима, в том числе	1080	878	202		394	
	01120100 – «Дошкольное воспитание и обучение»	101	67	34		17	
	01140100 – «Педагогика и методика начального обучения»	411	374	37		188	
	01140500 – «Физическая культура и спорт»	167	137	30		63	
	04110100 – «Учет и аудит»	38	19	19		19	
	07140100 – «Автоматизация и управление технологическими процессами (по профилю)»	31	22	9		10	
	07140500 – «Цифровая техника (по видам)»	57	55	2		15	
	07211300 – «Технология производства пищевых продуктов»	17	16	1			
	08210100 – «Лесное хозяйство»	57	22	35		13	
	08410100 – «Ветеринария»	69	62	7		15	
	10320200 – «Защита в чрезвычайных ситуациях (по профилю)»	124	96	28		46	
	07140200 Мехатроника	8	8	0		8	
23	Учреждение Колледж «Сферы обслуживания», в том числе	587	587	0		333	
	01120100 – «Дошкольное воспитание и обучение»	96	96	0		45	
	02120200 – «Дизайн одежды"	15	15	0		15	
	02120100 – «Дизайн интерьера"	15	15	0			
	02120300 – «Дизайн промышленной продукции»	15	15	0		15	
	04110100 – «Учет и аудит»	50	50	0		30	
	04120200 – «Оценка (по видам)»	15	15	0			
	06120100 – «Вычислительная техника и информационные сети (по видам)»	17	17	0			
	07130100 – «Электрооборудование (по видам и отраслям)»	30	30	0		15	
	07230100 – «Швейное производства и моделирование одежды»	95	95	0		46	
	10120100 – «Парикмахерское искусство»	84	84	0		46	
	10130200 – «Организация обслуживания в сфере питания»	15	15	0		15	
	10120200 – «Эстетическая косметология»	50	50	0		35	
	10130300 – «Организация питания»	90	90	0		71	
24	ЧУ «Колледж имени Жакии Чайжунусова», в том числе	105	100	5		61	
	04110100 – «Учет и аудит»	93	88	5		49	
	01140100 - «Педагогика и методика начального образованият»	12	12	0		12	
25	Учреждение «Высший гуманитарно-юридический и технический колледж», в том числе	758	675	83		280	
	03220200 – «Документационное обеспечение управления и архивоведения»	20	17	3		2	
	04110100 – «Учет и аудит»	73	71	2		8	
	04130100 – «Менеджмент (по отраслям и областям применения)»	25	23	2		25	
	0420100 – «Правоведение»	97	59	38		60	
	04120200 – «Оценка (по видам)»	42	40	2		31	
	06130100 – «Программное обеспечение (по видам)»	81	72	9		12	
	10410400 – «Организация дорожного движения»	420	393	27		142	
26	Учреждение «Технологический колледж города Семей», в том числе	627	543	84		308	
	06120100 – «Вычислительная техника и информационные сети (по видам)»	150	135	15		65	
	06120200 – «Системы информационной безопасности»	57	38	19		23	
	10120100 – «Парикмахерское искусство»	189	165	24		90	
	10130300 – «Организация питания»	231	205	26		130	
27	Учреждение «Семейский высший многопрофильный колледж», в том числе	1003	539	464		193	
	01120100 – «Дошкольное воспитание и обучение»	230	81	149		25	
	01130100 – «Логопедия»	58	46	12		17	
	01140100 – «Педагогика и методика начального обучения»	254	137	117		36	
	01140500 – «Физическая культура и спорт»	269	163	106		56	
	01140600 – «Педагогика и методика преподавания языка и литературы основного среднего образования»	65	40	25		31	
	01140700 – «Информатика»	34	28	6		10	
	02310100 – «Переводческое дело» (по видам)»	57	38	19		18	
	03220100 – «Библиотечное дело»	19		19			
	06130100 – «Программное обеспечение (по видам)»	17	7	10			
28	Учреждение «Высший колледж Семей имени Дулата Бабатайулы», в том числе	718	690	28		306	
	02120100 – «Дизайн интерьера»	108	108	0		50	
	02120200 – «Дизайн одежды»	46	46	0		30	
	02110300 – «Графический и мультимедийный дизайн»	178	174	4		71	
	02120300 – «Дизайн промышленной продукции»	51	51	0		38	
	06130100 – «Программное обеспечение (по видам)»	217	215	2		71	
	04210100 – «Правоведение»	21	0	21			
	10120100 - Парикмахерское искусство	97	96	1		46	
29	Учреждение «Медицинский колледж «Семей», в том числе	614	468	146		124	
	09130100 – «Сестринское дело»	203	131	72		35	
	09120100 – «Лечебное дело»	411	337	74		89	
30	Учреждение образования «Высший медицинский колледж «Авиценна», в том числе	1669	432	1237		154	
	09110100 – «Стоматология»	189	95	94		41	
	09110200 – «Стоматология ортопедическая»	83	17	66		17	
	09120100 – «Лечебное дело»	598	178	420		50	
	09130100 – «Сестринское дело»	595	124	471		39	
	09130200 – «Акушерское дело»	3	1	2		2	
	09160100 – «Фармация»	198	14	184		2	
	9880100- "Медико-профилактическое дело"	3	3	0		3	
31	ТОО «Региональный спортивный колледж олимпийского резерва», в том числе	354	204	150		46	
	01140500 – «Физическая культура и спорт»	354	204	150		46	
32	ТОО «Высший колледж «Кайнар», втом числе	713	527	186		191	
	01140100 – «Педагогика и методика начального обучения»	78	57	21		20	
	02310100 – «Переводческое дело» (по видам)»	32	24	8		14	
	03220100 – «Библиотечное дело»	0	0	0			
	04110100 – «Учет и аудит»	37	34	3		10	
	04210100 – «Правоведение»	149	16	133		17	
	06120100 – «Вычислительная техника и информационные сети (по видам)»	68	68	0		13	
	06120200 – «Системы информационной безопасности»	28	23	5			
	06130100 – «Программное обеспечение (по видам)»	6	6	0			
	10320100 – «Пожарная безопасность»	36	36	0		13	
	10320200 – «Защита в чрезвычайных ситуациях (по профилю)»	111	107	4		46	
	10410400 – «Организация дорожного движения»	168	156	12		58	
	Итого	20853	15592	5261		6367	
